Class,File,Surface Area,Volume,Compactness,Rectangularity,Diameter,Convexity,Eccentricity,A3_bin_0,A3_bin_1,A3_bin_2,A3_bin_3,A3_bin_4,A3_bin_5,A3_bin_6,A3_bin_7,A3_bin_8,A3_bin_9,A3_bin_10,A3_bin_11,A3_bin_12,A3_bin_13,A3_bin_14,A3_bin_15,A3_bin_16,A3_bin_17,A3_bin_18,A3_bin_19,A3_bin_20,A3_bin_21,A3_bin_22,A3_bin_23,A3_bin_24,A3_bin_25,A3_bin_26,A3_bin_27,A3_bin_28,A3_bin_29,A3_bin_30,A3_bin_31,A3_bin_32,A3_bin_33,A3_bin_34,A3_bin_35,A3_bin_36,A3_bin_37,A3_bin_38,A3_bin_39,D1_bin_0,D1_bin_1,D1_bin_2,D1_bin_3,D1_bin_4,D1_bin_5,D1_bin_6,D1_bin_7,D1_bin_8,D1_bin_9,D1_bin_10,D1_bin_11,D1_bin_12,D1_bin_13,D1_bin_14,D1_bin_15,D1_bin_16,D1_bin_17,D1_bin_18,D1_bin_19,D1_bin_20,D1_bin_21,D1_bin_22,D1_bin_23,D1_bin_24,D1_bin_25,D1_bin_26,D1_bin_27,D1_bin_28,D1_bin_29,D1_bin_30,D1_bin_31,D1_bin_32,D1_bin_33,D1_bin_34,D1_bin_35,D1_bin_36,D1_bin_37,D1_bin_38,D1_bin_39,D2_bin_0,D2_bin_1,D2_bin_2,D2_bin_3,D2_bin_4,D2_bin_5,D2_bin_6,D2_bin_7,D2_bin_8,D2_bin_9,D2_bin_10,D2_bin_11,D2_bin_12,D2_bin_13,D2_bin_14,D2_bin_15,D2_bin_16,D2_bin_17,D2_bin_18,D2_bin_19,D2_bin_20,D2_bin_21,D2_bin_22,D2_bin_23,D2_bin_24,D2_bin_25,D2_bin_26,D2_bin_27,D2_bin_28,D2_bin_29,D2_bin_30,D2_bin_31,D2_bin_32,D2_bin_33,D2_bin_34,D2_bin_35,D2_bin_36,D2_bin_37,D2_bin_38,D2_bin_39,D3_bin_0,D3_bin_1,D3_bin_2,D3_bin_3,D3_bin_4,D3_bin_5,D3_bin_6,D3_bin_7,D3_bin_8,D3_bin_9,D3_bin_10,D3_bin_11,D3_bin_12,D3_bin_13,D3_bin_14,D3_bin_15,D3_bin_16,D3_bin_17,D3_bin_18,D3_bin_19,D3_bin_20,D3_bin_21,D3_bin_22,D3_bin_23,D3_bin_24,D3_bin_25,D3_bin_26,D3_bin_27,D3_bin_28,D3_bin_29,D3_bin_30,D3_bin_31,D3_bin_32,D3_bin_33,D3_bin_34,D3_bin_35,D3_bin_36,D3_bin_37,D3_bin_38,D3_bin_39,D4_bin_0,D4_bin_1,D4_bin_2,D4_bin_3,D4_bin_4,D4_bin_5,D4_bin_6,D4_bin_7,D4_bin_8,D4_bin_9,D4_bin_10,D4_bin_11,D4_bin_12,D4_bin_13,D4_bin_14,D4_bin_15,D4_bin_16,D4_bin_17,D4_bin_18,D4_bin_19,D4_bin_20,D4_bin_21,D4_bin_22,D4_bin_23,D4_bin_24,D4_bin_25,D4_bin_26,D4_bin_27,D4_bin_28,D4_bin_29,D4_bin_30,D4_bin_31,D4_bin_32,D4_bin_33,D4_bin_34,D4_bin_35,D4_bin_36,D4_bin_37,D4_bin_38,D4_bin_39
Insect,D00309.obj,-0.07772359726280965,0.4898471516678879,1.6200907531857198,-0.25936057233158494,0.11101807592995348,-0.24496580335181772,-0.20539341191906063,0.0178,0.0402,0.0554,0.0636,0.0538,0.0524,0.0516,0.045,0.0396,0.0404,0.0402,0.0268,0.0318,0.0292,0.028,0.0284,0.0304,0.0278,0.028,0.0266,0.0224,0.0188,0.0172,0.0212,0.0182,0.017,0.017,0.0154,0.013,0.014,0.01,0.0106,0.0112,0.009,0.0076,0.0086,0.0046,0.004,0.0024,0.0008,0.0024,0.019,0.0544,0.0842,0.0914,0.1078,0.0876,0.089,0.0834,0.0768,0.0756,0.057,0.0486,0.0312,0.022,0.0196,0.0126,0.0096,0.0074,0.0058,0.0056,0.0042,0.0022,0.0006,0.0008,0.0004,0.0002,0.0004,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0108,0.0312,0.0492,0.0716,0.092,0.0902,0.0892,0.0898,0.0642,0.0588,0.0554,0.0536,0.0434,0.04,0.0398,0.0272,0.023,0.0248,0.0234,0.0114,0.006,0.0016,0.0024,0.0008,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3432,0.301,0.1782,0.0948,0.0458,0.0188,0.008,0.0034,0.003,0.0018,0.001,0.0002,0.0002,0.0004,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9796,0.0184,0.0014,0.0002,0.0002,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Insect,D00136.obj,-0.1892425553781788,0.12488753531538921,0.9091966662608385,0.1618429394088369,-1.413519680536929,0.13581976483270247,-0.2770275639702583,0.017,0.0318,0.04,0.0446,0.0428,0.0512,0.043,0.0482,0.052,0.0484,0.0438,0.0462,0.0422,0.0388,0.0364,0.0356,0.0332,0.031,0.0308,0.0238,0.0256,0.025,0.0208,0.0188,0.0138,0.0154,0.0124,0.011,0.0154,0.009,0.0106,0.0112,0.006,0.007,0.0056,0.003,0.0038,0.0028,0.0014,0.0006,0.0024,0.0224,0.0582,0.1084,0.1336,0.156,0.1302,0.1084,0.0924,0.0594,0.035,0.0206,0.0136,0.0112,0.0122,0.0096,0.0068,0.0044,0.0052,0.003,0.0048,0.0006,0.0002,0.0004,0.0008,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0158,0.0338,0.0706,0.1042,0.1254,0.1464,0.1018,0.0724,0.063,0.0518,0.0432,0.0348,0.0326,0.0314,0.0216,0.0168,0.0132,0.013,0.007,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4692,0.3118,0.1226,0.0514,0.0232,0.0098,0.0054,0.0036,0.0026,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9886,0.0112,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Insect,D00081.obj,-0.3859269212823671,-0.3069282552769282,-0.18066761005508356,-0.4976598977628355,-0.9351219786956223,-0.5180547121823786,-0.2697340834297128,0.0266,0.0508,0.0456,0.0522,0.0472,0.05,0.0536,0.0496,0.0462,0.0362,0.038,0.0338,0.0332,0.036,0.0296,0.0282,0.0244,0.0236,0.0234,0.0208,0.0208,0.0224,0.0206,0.0186,0.0196,0.0196,0.0144,0.016,0.0126,0.0134,0.0092,0.013,0.0102,0.0094,0.0102,0.0076,0.0052,0.0058,0.0018,0.0006,0.0052,0.0444,0.0918,0.1282,0.1304,0.1296,0.111,0.0764,0.063,0.0518,0.0372,0.0326,0.026,0.0204,0.0162,0.0112,0.0094,0.0054,0.0046,0.0022,0.0014,0.0012,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0268,0.0664,0.0694,0.09,0.1102,0.1032,0.0908,0.071,0.0702,0.0644,0.0602,0.0498,0.0364,0.024,0.0208,0.0194,0.0156,0.006,0.0024,0.0014,0.0012,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5626,0.2286,0.1004,0.0498,0.0264,0.0138,0.0076,0.0044,0.0044,0.0006,0.0006,0.0006,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9846,0.0138,0.0014,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Insect,D00732.obj,-0.3061745090620463,-0.2487654529667663,-0.11596881505253953,-0.49344545583906985,-0.44350431166101634,-0.5234477663456273,-0.27713584165610583,0.0232,0.0426,0.054,0.0578,0.056,0.055,0.0518,0.0478,0.0402,0.0358,0.0378,0.0306,0.0306,0.0266,0.0216,0.0254,0.0248,0.0272,0.0208,0.0196,0.0214,0.0206,0.0214,0.0166,0.0198,0.0194,0.0176,0.0148,0.0166,0.0158,0.0144,0.017,0.0124,0.0088,0.0096,0.0084,0.0058,0.006,0.0032,0.0012,0.0148,0.0822,0.1294,0.1396,0.137,0.122,0.1058,0.0888,0.0574,0.0342,0.026,0.0176,0.012,0.0092,0.0096,0.0048,0.0034,0.0026,0.0016,0.001,0.0004,0.0002,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238,0.072,0.1192,0.125,0.1098,0.1178,0.1036,0.0878,0.0656,0.0496,0.0332,0.0278,0.0234,0.0176,0.0104,0.0058,0.0026,0.0032,0.0008,0.0008,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7084,0.2036,0.0646,0.0122,0.0054,0.0034,0.0012,0.001,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9978,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Insect,D00109.obj,0.27907568759309725,-0.25067675933177247,-0.2999304957553989,-0.5256221514313364,0.37903461167940816,-0.5636105811020237,-0.36631660687268686,0.0318,0.047,0.0584,0.053,0.044,0.0422,0.0418,0.0372,0.0452,0.0384,0.0382,0.0382,0.0392,0.0338,0.0342,0.0304,0.0338,0.0314,0.0282,0.0268,0.0266,0.0216,0.0184,0.0142,0.017,0.016,0.0122,0.0124,0.0132,0.0112,0.0098,0.0128,0.0094,0.0058,0.0078,0.0058,0.0038,0.0034,0.004,0.0014,0.0008,0.003,0.015,0.0388,0.0928,0.1178,0.1242,0.123,0.0946,0.0724,0.0576,0.0446,0.0358,0.0368,0.027,0.0208,0.0216,0.0148,0.0154,0.0134,0.009,0.0066,0.0044,0.0042,0.002,0.0014,0.0008,0.0012,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0204,0.057,0.0822,0.068,0.0612,0.0618,0.0544,0.0538,0.0466,0.046,0.0482,0.0532,0.053,0.0594,0.0546,0.0584,0.0376,0.0354,0.0212,0.0122,0.0062,0.0042,0.0032,0.0014,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3698,0.2054,0.1226,0.0806,0.0568,0.0462,0.0346,0.0198,0.021,0.0174,0.0108,0.007,0.0056,0.0016,0.0004,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8906,0.0694,0.0236,0.0106,0.0042,0.0012,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Insect,D00294.obj,0.04849008246396494,-0.31038014423067367,-0.30327670104885096,-0.4571846698943461,-1.646985908947089,-0.4676853897536295,0.5431934062740945,0.034,0.063,0.0616,0.0458,0.0478,0.0406,0.0438,0.0374,0.0372,0.0364,0.0324,0.0316,0.0286,0.0272,0.0286,0.0268,0.0332,0.0298,0.0324,0.0286,0.0238,0.02,0.0226,0.0206,0.0168,0.0164,0.0186,0.0168,0.014,0.0134,0.0124,0.0124,0.0116,0.0076,0.0086,0.0062,0.0034,0.0042,0.002,0.0018,0.0066,0.0394,0.0658,0.0752,0.083,0.0876,0.1072,0.1286,0.146,0.071,0.0468,0.0318,0.0332,0.0206,0.0166,0.0112,0.0084,0.0052,0.0058,0.0036,0.0024,0.0022,0.0016,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.0984,0.0896,0.065,0.0576,0.0586,0.0638,0.0664,0.0676,0.0658,0.0654,0.0616,0.0546,0.0426,0.029,0.0332,0.026,0.012,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5278,0.2208,0.1132,0.0724,0.0324,0.018,0.0106,0.0032,0.0008,0.0004,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Insect,D00082.obj,-0.1344193842993006,0.3504335751926403,1.5317234726346598,0.19064637457199504,-1.667587498667528,0.26489930493020347,-0.10194129978681288,0.0326,0.0574,0.0572,0.0426,0.0458,0.0374,0.0348,0.0356,0.037,0.0294,0.0332,0.0344,0.0336,0.0368,0.0294,0.0348,0.0314,0.0406,0.032,0.0298,0.0278,0.026,0.029,0.0224,0.0198,0.0184,0.0222,0.0124,0.0148,0.0126,0.01,0.0086,0.0084,0.0056,0.0042,0.005,0.0036,0.0016,0.0012,0.0006,0.0064,0.0374,0.1092,0.2188,0.3162,0.0836,0.031,0.0312,0.0264,0.0232,0.0214,0.0188,0.0136,0.0132,0.0122,0.0106,0.0086,0.006,0.004,0.0034,0.0026,0.001,0.0004,0.0002,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.1846,0.1694,0.1492,0.0312,0.0284,0.0346,0.039,0.03,0.0432,0.0444,0.0336,0.0412,0.0426,0.0246,0.017,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7476,0.1552,0.0428,0.0272,0.0148,0.0072,0.004,0.0004,0.0006,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9988,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Insect,D00333.obj,-0.38594232927663286,-0.07494260027768437,1.8549411268128524,-0.22779932284158014,0.44275456565155674,-0.207195558446368,0.3262789100090745,0.0338,0.0436,0.049,0.0476,0.0552,0.0532,0.0496,0.0438,0.0494,0.0432,0.0362,0.0352,0.0326,0.0306,0.0304,0.0274,0.027,0.023,0.0258,0.0188,0.0182,0.017,0.0164,0.0166,0.0166,0.0146,0.0152,0.0112,0.017,0.0156,0.0112,0.014,0.0098,0.0108,0.0122,0.0094,0.0074,0.0058,0.0042,0.0014,0.002,0.0186,0.0316,0.0464,0.0666,0.076,0.0786,0.079,0.0744,0.0818,0.072,0.0684,0.0616,0.05,0.0498,0.0438,0.0332,0.0242,0.0168,0.0114,0.0072,0.005,0.0012,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0174,0.0286,0.036,0.0526,0.0588,0.0734,0.0688,0.075,0.0706,0.0802,0.0642,0.057,0.0534,0.051,0.0496,0.038,0.0262,0.0262,0.0198,0.0138,0.009,0.0062,0.0046,0.0012,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2652,0.2152,0.1684,0.1146,0.0864,0.0554,0.0418,0.0216,0.012,0.0064,0.0054,0.0036,0.0016,0.0012,0.0008,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975,0.024,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Insect,D00695.obj,-0.5082678845268483,-0.2905060334328039,0.7293401530628691,-0.41566118072288033,-0.7490488277809867,-0.45765983331245047,0.13488872492679085,0.0276,0.0514,0.0588,0.0642,0.0592,0.0532,0.0472,0.049,0.042,0.0382,0.0342,0.028,0.0314,0.0256,0.0268,0.0254,0.022,0.018,0.0214,0.02,0.0196,0.0178,0.0184,0.0168,0.0128,0.0148,0.0172,0.0128,0.0142,0.0144,0.0152,0.0126,0.0126,0.0138,0.009,0.0098,0.0098,0.0078,0.0056,0.0014,0.023,0.0964,0.1404,0.1362,0.1322,0.0964,0.097,0.0712,0.0612,0.0452,0.0316,0.023,0.0114,0.0106,0.008,0.0046,0.0032,0.0026,0.0024,0.001,0.0014,0.0006,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0256,0.0762,0.108,0.1198,0.121,0.1092,0.0954,0.0932,0.0664,0.0542,0.038,0.0306,0.0188,0.01,0.0104,0.0074,0.008,0.0034,0.0026,0.0012,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7038,0.1956,0.0664,0.0198,0.0076,0.0048,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Insect,D00291.obj,-0.4059260749950101,-0.15571457839887423,1.1531865273906008,-0.022137937634175757,-0.5270203328970677,0.07953786991612442,0.5560555153061164,0.035,0.0664,0.0734,0.0654,0.0618,0.0538,0.0436,0.042,0.0342,0.034,0.0278,0.0288,0.0248,0.0198,0.022,0.0172,0.0218,0.0184,0.0194,0.0154,0.016,0.0158,0.0176,0.0152,0.0178,0.0172,0.0128,0.017,0.0186,0.0178,0.0158,0.0176,0.0142,0.0138,0.016,0.0124,0.0092,0.007,0.0022,0.001,0.0064,0.0532,0.0984,0.1232,0.12,0.1096,0.0942,0.0878,0.0682,0.0614,0.0404,0.0346,0.0272,0.0182,0.016,0.0106,0.0106,0.0072,0.005,0.0038,0.0022,0.0014,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0252,0.07,0.1116,0.1054,0.1056,0.088,0.0732,0.0646,0.053,0.0438,0.0454,0.0412,0.0414,0.0324,0.032,0.0242,0.017,0.0108,0.0088,0.0032,0.0026,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6434,0.2626,0.069,0.018,0.005,0.0018,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
